scratch their backs on the 
when it was doing its 
it was doing its best 
not saying much for the 
the car owned by the 
but it could make fast 
much for the car owned 
very powerful one but it 
was not a very powerful 
was not saying much for 
make fast time occasionally <end> 
one but it could make 
of course that was not 
at the same time and 
the scarecrow both finished their 
scraps and the scarecrow both 
time and again they faced 
they faced each other <end> 
same time and again they 
<start> <start> scraps and the 
present my friend the right 
the right royal scarecrow of 
patchwork said the shaggy man 
said the shaggy man to 
me miss patchwork said the 
royal scarecrow of oz <end> 
miss patchwork said the shaggy 
patches scraps this is the 
scarecrow this is miss scraps 
is miss scraps patches scraps 
<start> <start> scarecrow this is 
<start> scarecrow this is miss 
bowed with much dignity <end> 
<start> <start> they both bowed 
both bowed with much dignity 
staring so rudely said the 
the scarecrow but you are 
most beautiful sight my eyes 
said the scarecrow but you 
so rudely said the scarecrow 
are the most beautiful sight 
rudely said the scarecrow but 
my eyes have ever beheld 
is himself so beautiful murmured 
beautiful murmured scraps casting down 
scraps casting down her suspenderbutton 
high compliment from one who 
<start> that is a high 
himself so beautiful murmured scraps 
compliment from one who is 
suspenderbutton eyes by lowering her 
murmured scraps casting down her 
but tell me good sir 
<start> but tell me good 
sir are you not a 
you not a trifle lumpy 
good sir are you not 
of course thats my straw 
<start> <start> yes of course 
thats my straw you know 
yes of course thats my 
my efforts to keep it 
<start> it bunches up sometimes 
efforts to keep it even 
all my efforts to keep 
bunches up sometimes in spite 
in spite of all my 
<start> oh im stuffed with 
oh im stuffed with cotton 
im stuffed with cotton said 
its inclined to pack down 
pack down and make me 
bunches but its inclined to 
down and make me sag 
but its inclined to pack 
cotton is a highgrade stuffing 
<start> but cotton is a 
<start> <start> but cotton is 
it is even more stylish 
say it is even more 
may say it is even 
than straw said the scarecrow 
<start> i may say it 
to say aristocratic than straw 
i may say it is 
lovely should have the best 
still it is but proper 
stuffing there is going <end> 
but proper that one so 
is but proper that one 
one so entrancingly lovely should 
it is but proper that 
<start> <start> i erim so 
ive met you miss scraps 
glad ive met you miss 
<start> i erim so glad 
at his friends enthusiasm <end> 
shaggy man laughing at his 
once is enough replied the 
the shaggy man laughing at 
man laughing at his friends 
found her anddear me what 
anddear me what a queer 
then tell me where you 
you found her anddear me 
where you found her anddear 
attracted the scarecrows attention <end> 
proud to have attracted the 
<start> <start> pure glass answered 
<start> pure glass answered the 
cat proud to have attracted 
more beautiful than the patchwork 
i am much more beautiful 
am much more beautiful than 
much more beautiful than the 
heart finely polished while scraps 
see em work and ive 
any heart at all <end> 
<start> im transparent and scraps 
while scraps hasnt any heart 
pink brains you can see 
work and ive a ruby 
transparent and scraps isnt ive 
finely polished while scraps hasnt 
ive a ruby heart finely 
as if to congratulate her 
scraps as if to congratulate 
no more have i said 
<start> <start> no more have 
have i said the scarecrow 
more have i said the 
hands with scraps as if 
i find i get along 
friend the tin woodman who 
<start> <start> ive a friend 
ive a friend the tin 
<start> ive a friend the 
along pretty well without one 
find i get along pretty 
a friend the tin woodman 
little munchkin boy too <end> 
heres a little munchkin boy 
<start> <start> heres a little 
know i cant inform you 
why please for if you 
if you dont know i 
i cant inform you <end> 
please for if you dont 
dont know i cant inform 
<start> <start> said ann but 
paid no attention to the 
ann but shaggy paid no 
shaggy paid no attention to 
of the tube had a 
a silver rim and around 
had a silver rim and 
<start> <start> this end of 
silver rim and around it 
was attached a sign that 
was a gold railing to 
end of the tube had 
a sign that read <end> 
are out stay there <end> 
if you are out stay 
you are out stay there 
if you are in dont 
are in dont come out 
<start> <start> if you are 
the year of the world 
world for his own exclusive 
tube burrowed and built by 
and built by hiergargo the 
by hiergargo the magician in 
his own exclusive uses <end> 
<start> <start> on a little 
just inside the tube burrowed 
burrowed and built by hiergargo 
little silver plate just inside 
about that star i guess 
was some builder i must 
she had read the inscription 
he was some builder i 
had read the inscription but 
if he had known about 
that star i guess hed 
but if he had known 
some builder i must say 
builder i must say remarked 
star i guess hed have 
his time playing solitaire <end> 
<start> well what are we 
what are we waiting for 
well what are we waiting 
<start> <start> inquired shaggy who 
shaggy who was impatient to 
who was impatient to start 
i hear him coming <end> 
think i hear him coming 
<start> <start> but i think 
asked ann who had never 
never seen a live dragon 
who had never seen a 
ann who had never seen 
was a little fearful of 
little fearful of meeting one 
<start> <start> asked ann who 
the king of the tube 
<start> <start> no indeed replied 
indeed replied the king of 
<start> no indeed replied the 
but before you part company 
before you part company im 
a minute but before you 
company im sure youll wish 
you part company im sure 
see him in a minute 
<start> youll see him in 
but quox tires me dreadfully 
tires me dreadfully said tubekins 
i prefer his room to 
<start> <start> but quox tires 
and i prefer his room 
prefer his room to his 
why dont you take miss 
you take miss nestor on 
on a grasscutting flight tom 
dont you take miss nestor 
take miss nestor on a 
wouldnt be frightened at that 
<start> but she wouldnt be 
she wouldnt be frightened at 
what in the world does 
<start> what in the world 
in the world does that 
fully recovered from the effects 
air answered the young inventor 
him by the midnight intruder 
a few feet up in 
up in the air answered 
the air answered the young 
given him by the midnight 
by the midnight intruder <end> 
means skimming along a few 
of the blow given him 
it means skimming along a 
the blow given him by 
inquiries no clues to his 
many inquiries no clues to 
of many inquiries no clues 
<start> in spite of many 
no clues to his identity 
how high do you go 
<start> <start> how high do 
you cut grass as you 
<start> how high do you 
do you go when you 
nestor and tom thought he 
thought he detected a note 
asked miss nestor and tom 
he detected a note of 
curiosity in her voice <end> 
and tom thought he detected 
<start> <start> not high at 
high at all he said 
not high at all he 
the tops of tall daisies 
off the tops of tall 
in fact sometimes i do 
tops of tall daisies <end> 
sometimes i do cut off 
when youve been over the 
few times youll be ready 
youve been over the lawn 
a few times youll be 
youll be ready for a 
<start> i know youll like 
lawn a few times youll 
be ready for a high 
will she said hesitatingly <end> 
<start> ii almost believe i 
<start> <start> ii almost believe 
i will she said hesitatingly 
you take me down when 
will you take me down 
<start> will you take me 
me down when i want 
tom was glad of the 
it especially with such a 
and tom was glad of 
<start> <start> the hummingbird was 
as was miss nestor <end> 
trial flight and tom was 
of the chance to test 
a trial flight and tom 
with such a pretty passenger 
hummingbird was all ready for 
<start> the hummingbird was all 
to be cut out tom 
cut out tom swift <end> 
where i am going to 
see where i am going 
<start> i can see where 
not get many more rides 
get many more rides with 
rides with you now that 
miss nestor is taking to 
to aeroplaning you young rascal 
aeroplaning you young rascal <end> 
<start> ill not get many 
and he playfully shook his 
he playfully shook his finger 
<start> and he playfully shook 
<start> <start> and he playfully 
with swords and does the 
<start> they were armed with 
armed with swords and does 
king happen to be at 
<start> <start> they were armed 
the king happen to be 
glorious majesty king krewl is 
<start> his magnificent and glorious 
inhabiting his royal castle was 
present inhabiting his royal castle 
at present inhabiting his royal 
royal castle was the stiff 
castle was the stiff reply 
<start> then i guess well 
well go in an say 
say howdyedo continued capn bill 
howdyedo continued capn bill attempting 
an say howdyedo continued capn 
go in an say howdyedo 
then i guess well go 
<start> <start> but a soldier 
barred his way with a 
but a soldier barred his 
soldier barred his way with 
names and where do you 
<start> who are you what 
you what are your names 
where do you come from 
your names and where do 
you returned the sailor seein 
as were strangers in a 
the sailor seein as were 
know if we told you 
sailor seein as were strangers 
in a strange land <end> 
strangers in a strange land 
are strangers you will be 
<start> <start> oh if you 
will be permitted to enter 
to enter said the soldier 
be permitted to enter said 
said the soldier lowering his 
oh if you are strangers 
<start> his majesty is very 
majesty is very fond of 
<start> <start> his majesty is 
ever came to our country 
the first that ever came 
<start> you are the first 
country said the man <end> 
first that ever came to 
they had a very exciting 
<start> but his majesty has 
if strangers ever arrived in 
see that they had a 
jinxland he would see that 
in jinxland he would see 
would see that they had 
had a very exciting time 
he would see that they 
<start> capn bill scratched his 
scratched his chin thoughtfully <end> 
<start> <start> capn bill scratched 
favorably impressed by this last 
by this last remark <end> 
very favorably impressed by this 
he wasnt very favorably impressed 
decided that as there was 
would be wise to confront 
try to win his favor 
no way of escape from 
to win his favor <end> 
<start> <start> but he decided 
that as there was no 
way of escape from jinxland 
but he decided that as 
it would be wise to 
one of the soldiers <end> 
the castle escorted by one 
<start> so they entered the 
escorted by one of the 
by one of the soldiers 
wild animals of africa have 
hunted with firearms for many 
note the wild animals of 
<start> <start> editors note the 
by more than one marksman 
more than one marksman of 
been hunted with firearms for 
for many a year and 
africa have been hunted with 
many a year and photographed 
unique expedition into the jungle 
is the truly unique expedition 
<start> but here is the 
the truly unique expedition into 
africa for the purpose of 
the purpose of lassoing such 
the idea that any one 
shoot or photograph at the 
should seriously contemplate a journey 
longest range possible seems quite 
photograph at the longest range 
journey to africa for the 
<start> <start> the idea that 
such creatures as sportsmen either 
creatures as sportsmen either shoot 
for the purpose of lassoing 
wonderful moving pictures to prove 
moving pictures to prove it 
with american cowboys cowponies and 
but an american frontiersman has 
<start> but an american frontiersman 
pictures to prove it <end> 
with wonderful moving pictures to 
and huntingdogs and with wonderful 
it is a fine evidence 
the undertaking that colonel c 
a fine evidence of the 
parties to the undertaking that 
to the undertaking that colonel 
sporting qualities of both parties 
qualities of both parties to 
jones a western plainsman could 
<start> <start> jones a western 
<start> jones a western plainsman 
a western plainsman could so 
to command his backing <end> 
<start> bird an eastern manufacturer 
bird an eastern manufacturer in 
an eastern manufacturer in the 
as to command his backing 
cablegram from nairobi announced that 
a thing as the glow 
from nairobi announced that lion 
the buffalo jones african expedition 
it must have been felt 
there is such a thing 
and rhino had been lassoed 
<start> and if there is 
headquarters when the cablegram from 
<start> <start> and if there 
moving pictures were a complete 
if there is such a 
that lion and rhino had 
nairobi announced that lion and 
proxy it must have been 
its headquarters when the cablegram 
street law office where the 
african expedition had its headquarters 
must have been felt in 
where the buffalo jones african 
and the time of action 
<start> it was a special 
photographers and porters and when 
out of the nairobi station 
cowboys photographers and porters and 
special trainloaded to capacity with 
the way to the up 
the period of preparation passed 
pulled out of the nairobi 
the up country of british 
east africa the period of 
trainloaded to capacity with horses 
country of british east africa 
of the nairobi station on 
it pulled out of the 
baggage movingpicture cameras cowboys photographers 
preparation passed away and the 
way to the up country 
by the window of the 
window of the slowly moving 
on all of them but 
people on the platform glided 
of the slowly moving carriage 
will written on all of 
the faces of the people 
the window of the slowly 
them but also unbelief <end> 
glided by the window of 
good will written on all 
rope and tie and photograph 
setting out to rope and 
that was setting out to 
and photograph the wild animals 
and tie and photograph the 
was setting out to rope 
there was no doubt as 
tie and photograph the wild 
as to what they thought 
photograph the wild animals of 
of the east african veldt 
a rhino that weighs two 
<start> how are you going 
weighs two tons and a 
<start> <start> how are you 
hold a rhino that weighs 
you going to hold a 
what are you going to 
you going to do when 
<start> what are you going 
going to do when the 
questions asked us by the 
<start> such were the questions 
us by the hunters of 
<start> <start> such were the 
such were the questions asked 
and that a lion can 
that a lion can catch 
pains to explain that a 
further took pains to explain 
within a hundred yards <end> 
catch a horse within a 
explain that a rhino charges 
rhino charges like a flash 
a flash and that a 
york and his preparations to 
<start> these items of information 
however were well known to 
known to buffalo jones before 
well known to buffalo jones 
expedition was organized in new 
of information however were well 
items of information however were 
in new york and his 
was organized in new york 
his preparations to meet the 
tall and spare with a 
a strong rugged face and 
and keen blue eyes <end> 
face and keen blue eyes 
is tall and spare with 
<start> <start> jones is tall 
to believe implicitly that man 
during his sixtyfive years of 
found in our western country 
wild animal of consequence to 
has roped and tied often 
his sixtyfive years of life 
our western country and his 
his experience with these has 
animal of consequence to be 
is the master of all 
be found in our western 
he has roped and tied 
singlehanded every kind of wild 
to be found in our 
of consequence to be found 
led him to believe implicitly 
with these has led him 
has climbed trees after mountain 
mountain lions and with a 
has hauled grizzlies up into 
the air by one hind 
<start> <start> he has climbed 
by one hind leg <end> 
over a branch has hauled 
lions and with a lasso 
trees after mountain lions and 
muskox on the border of 
on the border of the 
to reach the land of 
land of the muskox on 
country that no white man 
before to reach the land 
a country that no white 
he set out alone to 
traveled before to reach the 
man had ever traveled before 
white man had ever traveled 
<start> and once he set 
a trapper on the way 
of the northern winter eventually 
<start> <start> the story is 
of the hostility of all 
indian tribes the wolves and 
came to the muskox and 
of all the indian tribes 
on the way and how 
winter eventually came to the 
these two in the face 
how he met a trapper 
face of the hostility of 
how these two in the 
way and how these two 
of how he met a 
told of how he met 
they started to return with 
till their cartridges ran out 
to return with their prizes 
deserted by their indian guide 
then deserted by their indian 
prizes got lost in the 
their cartridges ran out <end> 
<start> then deserted by their 
by their indian guide they 
in the wilderness and fought 
them in the night and 
religion stole upon them in 
and fell asleep exhausted the 
<start> <start> and when at 
obeying the laws of their 
asleep exhausted the indians obeying 
reached safety and fell asleep 
night and killed the calves 
when at last they reached 
upon them in the night 
they reached safety and fell 
<start> <start> but the success 
he had achieved with the 
of the rockies was not 
bears of the rockies was 
of the north and the 
and the grizzly bears of 
had achieved with the mountain 
the north and the grizzly 
with the mountain lions of 
rockies was not enough <end> 
ferocious big game of that 
his hand with the more 
big game of that country 
hand with the more ferocious 
to take an outfit to 
game of that country <end> 
life to take an outfit 
of his life to take 
his life to take an 
<start> <start> for twenty years 
to british east africa to 
to try his hand with 
experience colonel jones had learned 
had learned something else besides 
besides the mastery of man 
mastery of man over beast 
<start> <start> but in his 
his western experience colonel jones 
colonel jones had learned something 
hold a rhinoceros that weighed 
cowboy was going to hold 
tons and a half was 
was purely a matter of 
a matter of speculation <end> 
going to hold a rhinoceros 
<start> <start> precisely how an 
a half was purely a 
to hold a rhinoceros that 
<start> <start> yet of one 
a moving picture that would 
of one thing the colonel 
yet of one thing the 
certainthe experiment would result in 
colonel was certainthe experiment would 
be well worth the taking 
well worth the taking <end> 
makeup of the expedition <end> 
this reason what afterward came 
the makeup of the expedition 
be known as the picture 
department was added to the 
known as the picture department 
<start> <start> for this reason 
the picture department was added 
considerable length of time and 
<start> <start> the preparations extended 
time and were carried on 
carried on in various places 
<start> the preparations extended over 
of time and were carried 
the most important part of 
the outfit was the horses 
most important part of the 
part of the outfit was 
<start> <start> unquestionably the most 
and taking four men with 
boat and taking four men 
and bodyguard was rowed across 
an escort and bodyguard was 
taking four men with her 
her as an escort and 
the narrow channel to regos 
was rowed across the narrow 
boldly entered a boat and 
one morning queen cor boldly 
came to him saying that 
servant came to him saying 
in the palace playing checkers 
sitting in the palace playing 
and desired an audience with 
inga was sitting in the 
<start> <start> prince inga was 
was sitting in the palace 
the palace playing checkers with 
rinkitink when a servant came 
checkers with king rinkitink when 
bowed low before him in 
discover that he had now 
his magic powers the boy 
the room and bowed low 
low before him in mock 
and she soon entered the 
and bowed low before him 
to be admitted and she 
<start> with many misgivings lest 
before him in mock respect 
with many misgivings lest the 
queen discover that he had 
she soon entered the room 
big woman almost as tall 
<start> cor was a big 
a big woman almost as 
as tall as king gos 
woman almost as tall as 
complexion you see on gypsies 
eyes and the dark complexion 
had flashing black eyes and 
you see on gypsies <end> 
and the dark complexion you 
to cover by smiling sweetly 
irritated was something dreadful and 
by smiling sweetly often when 
and her face wore an 
something dreadful and her face 
temper when irritated was something 
her face wore an evil 
expression which she tried to 
tried to cover by smiling 
an evil expression which she 
sweetly often when she meant 
in a low voice to 
low voice to render homage 
said she in a low 
<start> i have come said 
to the noble prince of 
have come said she in 
a low voice to render 
strongest person in the world 
is the strongest person in 
rather than my enemy <end> 
friend rather than my enemy 
the strongest person in the 
to become my friend rather 
the world and invincible in 
in the world and invincible 
my friend rather than my 
highness is the strongest person 
battle and therefore i wish 
inga did not know how 
know how to reply to 
<start> now inga did not 
to reply to this speech 
<start> <start> now inga did 
afraid of her and he 
<start> he disliked the appearance 
of the woman and was 
the appearance of the woman 
<start> <start> he disliked the 
to deception and did not 
did not know how to 
and was afraid of her 
mask his real feelings <end> 
he disliked the appearance of 
from the island of pingaree 
the goods king gos has 
took time to think i 
your husband have made your 
reason for coming here is 
for coming here is to 
liberate my father and mother 
with your majesty and my 
he took time to think 
and my only reason for 
husband have made your slaves 
your majesty and my only 
and mother and my people 
only reason for coming here 
and my people whom you 
have made your slaves and 
mother and my people whom 
to recover the goods king 
my father and mother and 
<start> <start> this i hope 
friend you can assist me 
my friend you can assist 
i hope soon to accomplish 
you really wish to be 
and if you really wish 
accomplish and if you really 
this i hope soon to 
him alone and with ease 
from the corners of her 
innocent that i believe i 
and she said to herself 
she said to herself he 
studying the boys face stealthily 
had been studying the boys 
stealthily from the corners of 
while he was speaking queen 
herself he is so small 
been studying the boys face 
i believe i can capture 
<start> while he was speaking 
believe i can capture him 
boys face stealthily from the 
a path led from the 
from the fruit orchard directly 
city gates showing that the 
of the city gates showing 
fruit orchard directly to one 
to one of the city 
<start> <start> a path led 
the fruit orchard directly to 
to the gate which they 
which they found fast shut 
they found fast shut <end> 
friends followed this path to 
this path to the gate 
wizard advanced and pounded upon 
<start> but the wizard advanced 
but the wizard advanced and 
in a loud voice open 
and pounded upon it with 
a loud voice open <end> 
saying in a loud voice 
which looked down of these 
wall a row of immense 
friends at once realized that 
all of which looked down 
at once there rose above 
realized that they belonged to 
a row of immense heads 
rose above the great wall 
heads all of which looked 
<start> <start> at once there 
down of these heads was 
immense heads all of which 
they belonged to giants who 
our friends at once realized 
while the hair of a 
<start> <start> all had thick 
being white and on others 
thick bushy hair and whiskers 
black or red or yellow 
turning gray showing that the 
bushy hair and whiskers on 
the giants were of all 
others black or red or 
yellow while the hair of 
gray showing that the giants 
were of all ages <end> 
hair and whiskers on some 
red or yellow while the 
heads might seem the eyes 
as if the creatures had 
<start> <start> however fierce the 
<start> however fierce the heads 
the eyes were mild in 
their faces expressed patience rather 
mild in expression as if 
in expression as if the 
patience rather than ferocity <end> 
expressed patience rather than ferocity 
asked one old giant in 
one old giant in a 
<start> asked one old giant 
old giant in a low 
to enter the city replied 
we wish to enter the 
<start> we are strangers and 
strangers and we wish to 
are strangers and we wish 
<start> do you come in 
do you come in war 
<start> <start> do you come 
<start> in peace of course 
in peace of course retorted 
course retorted the wizard and 
peace of course retorted the 
added impatiently do we look 
look like an army of 
we look like an army 
can tell by appearances <end> 
said the first giant who 
spoken you look like innocent 
had spoken you look like 
tramps but one never can 
but one never can tell 
like innocent tramps but one 
never can tell by appearances 
<start> wait here until we 
until we report to our 
report to our masters <end> 
here until we report to 
no one can enter here 
one can enter here without 
here without the permission of 
the permission of vig the 
<start> <start> no one can 
had all bobbed down and 
bobbed down and disappeared behind 
the wall so there was 
but the heads had all 
and disappeared behind the wall 
wall so there was no 
heads had all bobbed down 
to an aeroplane questioned tom 
the proprietor knowing the broken 
questioned tom about his craft 
belonged to an aeroplane questioned 
so he returned evasive answers 
knowing the broken pieces belonged 
the broken pieces belonged to 
the young inventor knew better 
tom about his craft but 
craft but the young inventor 
better than to give any 
give any clew that might 
broken pieces belonged to an 
back to the place where 
of rustics grouped about it 
found a curious crowd of 
he got back to the 
place where he had left 
had left the falcon and 
<start> it was nearly night 
<start> <start> it was nearly 
the falcon and he found 
curious crowd of rustics grouped 
quiet im glad to say 
to say replied mr <end> 
glad to say replied mr 
<start> <start> no everything is 
i dont think our presence 
the news of it will 
<start> <start> i dont think 
the spies in paris <end> 
it will reach the spies 
our presence will create stir 
so that the news of 
that the news of it 
<start> still i will feel 
will feel easier when were 
still i will feel easier 
in the air again <end> 
were in the air again 
tom and put in the 
repairs said tom and put 
<start> it will take a 
put in the new pieces 
take a day to make 
make the repairs said tom 
said tom and put in 
as fast as i can 
but ill work as fast 
ill work as fast as 
<start> but ill work as 
ned labored far into the 
labored far into the night 
again the next morning <end> 
the night and were at 
and were at it again 
were at it again the 
russian were of no service 
they did not understand the 
the machinery well enough <end> 
no service for they did 
damon and the russian were 
not understand the machinery well 
the russian were of no 
tom was outside the craft 
outside the craft filing a 
was while tom was outside 
poorly clothed man sauntered up 
it was while tom was 
filing a piece of platinum 
piece of platinum in an 
a poorly clothed man sauntered 
<start> it was while tom 
of platinum in an improvised 
at him and was at 
at once struck by a 
by a difference between the 
mans attire and his person 
struck by a difference between 
between the mans attire and 
<start> tom glanced at him 
a farmer or laborer in 
he was tattered and torn 
<start> for though he was 
laborer in which character he 
hands were not those of 
which character he obviously posed 
his hands were not those 
farmer or laborer in which 
mans face showed a certain 
for though he was tattered 
a certain refinement and his 
a fine airship there he 
there he remarked to tom 
has a fine airship there 
fine airship there he remarked 
<start> <start> tom did not 
not want to encourage conversation 
want to encourage conversation <end> 
jinjur looked at woot critically 
<start> <start> jinjur looked at 
at woot critically and scowled 
youre the blackest creature i 
creature i ever saw <end> 
monkey said she youre the 
said she youre the blackest 
blackest creature i ever saw 
youll get my nice clean 
<start> <start> and youll get 
all dirty with soot and 
get my nice clean room 
and youll get my nice 
possessed you to jump up 
jump up the chimney <end> 
<start> <start> whatever possessed you 
to jump up the chimney 
i was scared explained woot 
explained woot somewhat ashamed <end> 
was scared explained woot somewhat 
<start> <start> i i was 
<start> <start> well you need 
will happen to you right 
thats what will happen to 
well you need renovating and 
happen to you right away 
you going to do <end> 
are you going to do 
<start> <start> what are you 
a good scrubbing said jinjur 
<start> <start> give you a 
you a good scrubbing said 
now neither boys nor monkeys 
so woot shrank away from 
monkeys relish being scrubbed so 
neither boys nor monkeys relish 
from the energetic girl trembling 
the energetic girl trembling fearfully 
energetic girl trembling fearfully <end> 
of his whines and struggles 
<start> but jinjur grabbed him 
his paw and dragged him 
a tub of cold water 
<start> <start> but jinjur grabbed 
cold water and began to 
she plunged him into a 
yard where in spite of 
his whines and struggles she 
and a cake of yellow 
stiff brush and a cake 
began to scrub him with 
to the back yard where 
out to the back yard 
with a stiff brush and 
whines and struggles she plunged 
brush and a cake of 
lathered and scrubbed him in 
and scrubbed him in a 
jinjur who lathered and scrubbed 
dried him with a coarse 
had endured since he became 
woot had endured since he 
but no protest had any 
afterward dried him with a 
since he became a monkey 
monkey but no protest had 
became a monkey but no 
hardest trial that woot had 
a monkey but no protest 
any influence with jinjur who 
bright in the afternoon sun 
this operation and nodded approval 
woots silky green fur shone 
<start> the bear and the 
owl gravely watched this operation 
operation and nodded approval when 
when woots silky green fur 
bear and the owl gravely 
and nodded approval when woots 
<start> <start> many with big 
could hear her through the 
big round eyes looked full 
if she spoke to them 
<start> many with big round 
full at the girl as 
as she watched them and 
many with big round eyes 
them and dorothy wondered if 
through the glass if she 
watched them and dorothy wondered 
slowly and havent much to 
and animals because they think 
talk also but usually they 
more stupid than birds and 
and birds can talk many 
able to talk also but 
usually they are more stupid 
much to talk about <end> 
birds and animals because they 
<start> in oz where all 
animals because they think slowly 
think slowly and havent much 
because they think slowly and 
they had important business and 
darted quickly in and out 
the lake of the skeezers 
the fish of smaller size 
and were in a hurry 
quickly in and out among 
skeezers the fish of smaller 
more active than the big 
weeds as if they had 
among the swaying weeds as 
and out among the swaying 
big ones and darted quickly 
in the lake of the 
as if they had important 
the gold and silver and 
<start> <start> it was among 
that dorothy hoped to spy 
and silver and bronze fishes 
gold and silver and bronze 
dorothy hoped to spy the 
was among the smaller varieties 
<start> she had an idea 
would keep together being companions 
she had an idea the 
the three would keep together 
even if they appeared in 
they were in their natural 
in their natural forms but 
their natural forms but such 
fishes constantly passed the scene 
the scene shifting every moment 
idea the three would keep 
notice them even if they 
would notice them even if 
companions now as they were 
if they appeared in view 
forms but such a multitude 
but such a multitude of 
the other side of the 
far away in the lake 
she sought might be on 
eyes couldnt look in all 
sought might be on the 
or far away in the 
<start> <start> her eyes couldnt 
might be on the other 
the fishes she sought might 
all directions and the fishes 
enemy has been transformed she 
and dont know their enemy 
afraid of cooeeoh theyve hid 
cooeeoh theyve hid themselves somewhere 
were afraid of cooeeoh theyve 
<start> <start> praps because they 
praps because they were afraid 
they were afraid of cooeeoh 
<start> she watched the fishes 
became hungry and went back 
for a long time until 
fishes for a long time 
and went back to the 
watched the fishes for a 
went back to the palace 
a long time until she 
you discover the three fishes 
<start> <start> did you discover 
<start> did you discover the 
me to do ozma so 
isnt anything better for me 
to do ozma so i 
anything better for me to 
for me to do ozma 
ozma so i guess ill 
back and watch again <end> 
followed by tom mr <end> 
as he ran forward followed 
titus as he ran forward 
forward followed by tom mr 
curious bit of rock which 
them but on the way 
bumper started with them but 
he saw a curious bit 
rock which he stopped to 
professor bumper started with them 
but on the way he 
bit of rock which he 
with them but on the 
which came rushing dirtstained and 
from which came rushing dirtstained 
tunnel from which came rushing 
rushing dirtstained and powderblackened men 
the entrance of the tunnel 
entrance of the tunnel from 
a man who seemed to 
seemed to be in authority 
<start> <start> titus was met 
to be in authority <end> 
