on the steel plates <end> 
they both bowed with much 
bowed with much dignity <end> 
the most beautiful sight my 
beautiful sight my eyes have 
sight my eyes have ever 
but you are the most 
most beautiful sight my eyes 
high compliment from one who 
from one who is himself 
is himself so beautiful murmured 
himself so beautiful murmured scraps 
one who is himself so 
<start> but tell me good 
tell me good sir are 
are you not a trifle 
straw you know <end> <end> 
<start> yes of course thats 
of all my efforts to 
bunches up sometimes in spite 
in spite of all my 
with cotton said scraps <end> 
<start> oh im stuffed with 
<start> it never bunches but 
make me sag <end> <end> 
inclined to pack down and 
a highgrade stuffing <end> <end> 
but cotton is a highgrade 
more stylish not to say 
aristocratic than straw said the 
straw said the scarecrow politely 
say it is even more 
still it is but proper 
is but proper that one 
it is but proper that 
there is going <end> <end> 
i erim so glad ive 
erim so glad ive met 
is enough replied the shaggy 
shaggy man laughing at his 
<start> once is enough replied 
<start> then tell me where 
then tell me where you 
where you found her anddear 
to have attracted the scarecrows 
<start> pure glass answered the 
the cat proud to have 
i am much more beautiful 
the patchwork girl <end> <end> 
ive a ruby heart finely 
isnt ive pink brains you 
can see em work and 
work and ive a ruby 
while scraps hasnt any heart 
heart finely polished while scraps 
on the fact <end> <end> 
more have i said the 
scarecrow shaking hands with scraps 
her on the fact <end> 
<start> ive a friend the 
well without one <end> <end> 
get along pretty well without 
the tin woodman who has 
<start> heres a little munchkin 
munchkin boy too <end> <end> 
if you dont know i 
please for if you dont 
dont know i cant inform 
to the question <end> <end> 
no attention to the question 
tube had a silver rim 
attached a sign that read 
around it was a gold 
to which was attached a 
was attached a sign that 
out stay there <end> <end> 
you are out stay there 
if you are in dont 
dont come out <end> <end> 
his own exclusive uses <end> 
just inside the tube burrowed 
for his own exclusive uses 
year of the world for 
the world for his own 
tube burrowed and built by 
guess hed have spent his 
i must say remarked betsy 
had known about that star 
the inscription but if he 
star i guess hed have 
i guess hed have spent 
his time playing solitaire <end> 
<start> well what are we 
are we waiting for <end> 
impatient to start <end> <end> 
shaggy who was impatient to 
<start> but i think i 
hear him coming <end> <end> 
of meeting one <end> <end> 
little fearful of meeting one 
who had never seen a 
a live dragon and was 
<start> no indeed replied the 
no indeed replied the king 
youll see him in a 
in a minute but before 
him in a minute but 
part company im sure youll 
to his company <end> <end> 
said tubekins and i prefer 
tubekins and i prefer his 
grasscutting flight tom <end> <end> 
why dont you take miss 
<start> why dont you take 
wouldnt be frightened at that 
be frightened at that <end> 
world does that mean <end> 
does that mean <end> <end> 
feet up in the air 
inventor who had now fully 
the blow given him by 
from the effects of the 
fully recovered from the effects 
young inventor who had now 
the effects of the blow 
spite of many inquiries no 
to his identity had been 
clues to his identity had 
grass as you call it 
high do you go when 
<start> how high do you 
a note of eager curiosity 
asked miss nestor and tom 
eager curiosity in her voice 
detected a note of eager 
<start> not high at all 
all he said <end> <end> 
in fact sometimes i do 
the tops of tall daisies 
fact sometimes i do cut 
been over the lawn a 
youll be ready for a 
be ready for a high 
<start> i know youll like 
times youll be ready for 
almost believe i will she 
will she said hesitatingly <end> 
will you take me down 
want to come <end> <end> 
tom was glad of the 
hummingbird was all ready for 
especially with such a pretty 
all ready for a trial 
a pretty passenger as was 
the chance to test it 
see where i am going 
can see where i am 
to be cut out tom 
that miss nestor is taking 
now that miss nestor is 
is taking to aeroplaning you 
miss nestor is taking to 
his finger at tom <end> 
<start> and he playfully shook 
and does the king happen 
be at home <end> <end> 
swords and does the king 
his royal castle was the 
is at present inhabiting his 
at present inhabiting his royal 
and glorious majesty king krewl 
continued capn bill attempting to 
attempting to enter the doorway 
an say howdyedo continued capn 
<start> then i guess well 
his way with a lance 
a soldier barred his way 
your names and where do 
names and where do you 
<start> who are you what 
if we told you returned 
wouldnt know if we told 
a strange land <end> <end> 
<start> you wouldnt know if 
<start> oh if you are 
oh if you are strangers 
soldier lowering his lance <end> 
said the soldier lowering his 
majesty is very fond of 
is very fond of strangers 
<start> you are the first 
ever came to our country 
to our country said the 
he would see that they 
had a very exciting time 
see that they had a 
in jinxland he would see 
his majesty has often said 
<start> capn bill scratched his 
his chin thoughtfully <end> <end> 
this last remark <end> <end> 
favorably impressed by this last 
of escape from jinxland it 
as there was no way 
the king boldly and try 
but he decided that as 
try to win his favor 
boldly and try to win 
entered the castle escorted by 
the castle escorted by one 
by one of the soldiers 
year and photographed by more 
hunted with firearms for many 
animals of africa have been 
one marksman of the lens 
many a year and photographed 
wild animals of africa have 
into the jungle <end> <end> 
expedition into the jungle <end> 
sportsmen either shoot or photograph 
seems quite absurd <end> <end> 
seriously contemplate a journey to 
lassoing such creatures as sportsmen 
the purpose of lassoing such 
shoot or photograph at the 
at the longest range possible 
pictures to prove it <end> 
has done it with american 
moving pictures to prove it 
done it with american cowboys 
cowboys cowponies and huntingdogs and 
it is a fine evidence 
sporting qualities of both parties 
parties to the undertaking that 
qualities of both parties to 
could so completely interest mr 
western plainsman could so completely 
plan as to command his 
<start> bird an eastern manufacturer 
eastern manufacturer in the fantastic 
must have been felt in 
cablegram from nairobi announced that 
announced that lion and rhino 
a thing as the glow 
had been lassoed and that 
it must have been felt 
that lion and rhino had 
nairobi announced that lion and 
were a complete success <end> 
from nairobi announced that lion 
adventure by proxy it must 
pictures were a complete success 
out of the nairobi station 
nairobi station on the way 
east africa the period of 
porters and when it pulled 
the nairobi station on the 
it was a special trainloaded 
when it pulled out of 
of british east africa the 
cameras cowboys photographers and porters 
preparation passed away and the 
away and the time of 
by the window of the 
the people on the platform 
on the platform glided by 
them but also unbelief <end> 
all of them but also 
was good will written on 
east african veldt <end> <end> 
buffalo joness expedition that was 
doubt as to what they 
wild animals of the east 
joness expedition that was setting 
thought of buffalo joness expedition 
was setting out to rope 
rhino that weighs two tons 
going to hold a rhino 
hold a rhino that weighs 
what are you going to 
when the lion charges <end> 
questions asked us by the 
the questions asked us by 
<start> such were the questions 
further took pains to explain 
horse within a hundred yards 
flash and that a lion 
pains to explain that a 
<start> they further took pains 
expedition was organized in new 
the expedition was organized in 
were well known to buffalo 
of information however were well 
before the expedition was organized 
was organized in new york 
strong rugged face and keen 
is tall and spare with 
and spare with a strong 
of all wild beasts <end> 
all wild beasts <end> <end> 
that man is the master 
master of all wild beasts 
<start> during his sixtyfive years 
during his sixtyfive years of 
his sixtyfive years of life 
years of life he has 
life he has roped and 
kind of wild animal of 
mountain lions and with a 
lasso over a branch has 
grizzlies up into the air 
one hind leg <end> <end> 
<start> he has climbed trees 
border of the arctic circle 
over a country that no 
reach the land of the 
country that no white man 
had ever traveled before to 
before to reach the land 
and once he set out 
the wolves and the cold 
is told of how he 
and the cold of the 
how these two in the 
the indian tribes the wolves 
face of the hostility of 
winter eventually came to the 
to the muskox and captured 
on the way and how 
eventually came to the muskox 
then deserted by their indian 
with their prizes got lost 
guide they started to return 
in the wilderness and fought 
deserted by their indian guide 
lost in the wilderness and 
<start> and when at last 
asleep exhausted the indians obeying 
them in the night and 
when at last they reached 
and killed the calves <end> 
the laws of their religion 
the success he had achieved 
lions of the southwest the 
the muskox of the north 
of the rockies was not 
of the southwest the muskox 
southwest the muskox of the 
his life to take an 
an outfit to british east 
ferocious big game of that 
to take an outfit to 
of his life to take 
been the one ambition of 
with the more ferocious big 
in his western experience colonel 
else besides the mastery of 
jones had learned something else 
colonel jones had learned something 
how an american cowboy was 
an american cowboy was going 
that weighed two tons and 
was purely a matter of 
hold a rhinoceros that weighed 
yet of one thing the 
that would be well worth 
in a moving picture that 
would be well worth the 
be well worth the taking 
the makeup of the expedition 
reason what afterward came to 
to the makeup of the 
picture department was added to 
department was added to the 
<start> the preparations extended over 
of time and were carried 
extended over a considerable length 
time and were carried on 
the outfit was the horses 
<start> unquestionably the most important 
of the outfit was the 
her as an escort and 
a boat and taking four 
rowed across the narrow channel 
and bodyguard was rowed across 
an escort and bodyguard was 
taking four men with her 
rinkitink when a servant came 
playing checkers with king rinkitink 
him saying that queen cor 
cor had arrived and desired 
prince inga was sitting in 
had arrived and desired an 
wicked queen discover that he 
him in mock respect <end> 
misgivings lest the wicked queen 
lest the wicked queen discover 
had now lost his magic 
be admitted and she soon 
queen discover that he had 
she soon entered the room 
a big woman almost as 
woman almost as tall as 
as tall as king gos 
you see on gypsies <end> 
black eyes and the dark 
and the dark complexion you 
which she tried to cover 
to cover by smiling sweetly 
sweetly often when she meant 
an evil expression which she 
and her face wore an 
her face wore an evil 
render homage to the noble 
have come said she in 
low voice to render homage 
prince of pingaree <end> <end> 
is the strongest person in 
world and invincible in battle 
am told that your highness 
friend rather than my enemy 
in battle and therefore i 
you to become my friend 
not know how to reply 
to reply to this speech 
how to reply to this 
to deception and did not 
how to mask his real 
deception and did not know 
he was unused to deception 
was afraid of her and 
mask his real feelings <end> 
island of pingaree <end> <end> 
your husband have made your 
so he took time to 
gos has plundered from the 
here is to liberate my 
to liberate my father and 
reason for coming here is 
husband have made your slaves 
made your slaves and to 
<start> so he took time 
the goods king gos has 
really wish to be my 
you really wish to be 
to accomplish and if you 
my friend you can assist 
<start> while he was speaking 
capture him alone and with 
is so small and innocent 
speaking queen cor had been 
her eyes and she said 
i can capture him alone 
him alone and with ease 
corners of her eyes and 
boys face stealthily from the 
showing that the inhabitants preferred 
gates showing that the inhabitants 
one of the city gates 
path led from the fruit 
city gates showing that the 
gate which they found fast 
our friends followed this path 
which they found fast shut 
and pounded upon it with 
his fist saying in a 
but the wizard advanced and 
in a loud voice open 
that they belonged to giants 
they belonged to giants who 
all of which looked down 
who were standing within the 
of immense heads all of 
there rose above the great 
rose above the great wall 
which looked down of these 
hair being white and on 
red or yellow while the 
and on others black or 
or red or yellow while 
a few was just turning 
the giants were of all 
hair and whiskers on some 
of a few was just 
eyes were mild in expression 
expression as if the creatures 
subdued and their faces expressed 
creatures had been long subdued 
as if the creatures had 
rather than ferocity <end> <end> 
one old giant in a 
giant in a low grumbling 
the city replied the wizard 
strangers and we wish to 
enter the city replied the 
in war or peace <end> 
do you come in war 
we look like an army 
in peace of course retorted 
look like an army of 
wizard and he added impatiently 
like innocent tramps but one 
innocent tramps but one never 
said the first giant who 
no said the first giant 
wait here until we report 
here until we report to 
permission of vig the czarover 
vig the czarover <end> <end> 
of vig the czarover <end> 
wall so there was no 
behind the wall so there 
was no answer <end> <end> 
<start> but the heads had 
than to give any clew 
the broken pieces belonged to 
broken pieces belonged to an 
any clew that might make 
his craft but the young 
trouble so he returned evasive 
inventor knew better than to 
was nearly night when he 
nearly night when he got 
<start> it was nearly night 
found a curious crowd of 
and he found a curious 
of rustics grouped about it 
glad to say replied mr 
say replied mr <end> <end> 
i dont think our presence 
will reach the spies in 
stir enough so that the 
that the news of it 
dont think our presence will 
in the air again <end> 
the air again <end> <end> 
will feel easier when were 
will take a day to 
the repairs said tom and 
repairs said tom and put 
take a day to make 
as fast as i can 
but ill work as fast 
the next morning <end> <end> 
and were at it again 
<start> he and ned labored 
and ned labored far into 
not understand the machinery well 
they did not understand the 
service for they did not 
<start> damon and the russian 
filing a piece of platinum 
piece of platinum in an 
vise that a poorly clothed 
while tom was outside the 
an improvised vise that a 
watched him curiously <end> <end> 
once struck by a difference 
at him and was at 
mans attire and his person 
was at once struck by 
refinement and his hands were 
and his hands were not 
character he obviously posed <end> 
tattered and torn the mans 
though he was tattered and 
a farmer or laborer in 
face showed a certain refinement 
there he remarked to tom 
he remarked to tom <end> 
not want to encourage conversation 
did not want to encourage 
looked at woot critically and 
<start> jinjur looked at woot 
monkey said she youre the 
i ever saw <end> <end> 
for a green monkey said 
dirty with soot and ashes 
room all dirty with soot 
with soot and ashes <end> 
<start> whatever possessed you to 
jump up the chimney <end> 
i was scared explained woot 
<start> i i was scared 
well you need renovating and 
and thats what will happen 
thats what will happen to 
you going to do <end> 
what are you going to 
a good scrubbing said jinjur 
scrubbing said jinjur <end> <end> 
woot shrank away from the 
relish being scrubbed so woot 
away from the energetic girl 
the energetic girl trembling fearfully 
yard where in spite of 
jinjur grabbed him by his 
to scrub him with a 
and began to scrub him 
him with a stiff brush 
cake of yellow soap <end> 
by his paw and dragged 
of yellow soap <end> <end> 
struggles she plunged him into 
stiff brush and a cake 
<start> this was the hardest 
businesslike manner and afterward dried 
had endured since he became 
any influence with jinjur who 
the hardest trial that woot 
in a businesslike manner and 
lathered and scrubbed him in 
hardest trial that woot had 
green fur shone clear and 
operation and nodded approval when 
the owl gravely watched this 
this operation and nodded approval 
fur shone clear and bright 
them and dorothy wondered if 
wondered if they could hear 
if she spoke to them 
the glass if she spoke 
they could hear her through 
and dorothy wondered if they 
to talk also but usually 
usually they are more stupid 
because they think slowly and 
they think slowly and havent 
slowly and havent much to 
and birds can talk many 
than birds and animals because 
are able to talk also 
the swaying weeds as if 
of smaller size were more 
the skeezers the fish of 
lake of the skeezers the 
out among the swaying weeds 
ones and darted quickly in 
and out among the swaying 
weeds as if they had 
spy the gold and silver 
the smaller varieties that dorothy 
hoped to spy the gold 
dorothy hoped to spy the 
would keep together being companions 
now as they were in 
she was not sure she 
would notice them even if 
of fishes constantly passed the 
keep together being companions now 
such a multitude of fishes 
sure she would notice them 
companions now as they were 
had an idea the three 
the other side of the 
side of the dome or 
the dome or far away 
dome or far away in 
might be on the other 
sought might be on the 
and dont know their enemy 
their enemy has been transformed 
were afraid of cooeeoh theyve 
enemy has been transformed she 
they were afraid of cooeeoh 
time until she became hungry 
palace for lunch <end> <end> 
she watched the fishes for 
until she became hungry and 
<start> did you discover the 
discover the three fishes <end> 
<start> but there isnt anything 
isnt anything better for me 
better for me to do 
ill go back and watch 
as he ran forward followed 
by tom mr <end> <end> 
saw a curious bit of 
he saw a curious bit 
pick up and examine <end> 
<start> professor bumper started with 
of rock which he stopped 
came rushing dirtstained and powderblackened 
tunnel from which came rushing 
which came rushing dirtstained and 
who seemed to be in 
by a man who seemed 
<start> titus was met by 
<start> this is my brother 
my brother walter he said 
this is tom swift and 
swift and mr <end> <end> 
hurriedly he introduced them <end> 
<start> damon thus hurriedly he 
cried job titus <end> <end> 
now cried job titus <end> 
we must see to the 
must see to the poor 
many his brother said <end> 
arent many his brother said 
the charge went off <end> 
when the charge went off 
on their way out when 
some more of blakeson grinders 
<start> some more of blakeson 
in to the smokefilled tunnel 
now followed by tom mr 
by tom mr <end> <end> 
koku who would follow his 
damon and koku who would 
here and there from the 
from the rocky roof or 
the tunnel was lighted with 
lamps suspended here and there 
electric lights were supplied with 
<start> the electric lights were 
were supplied with current from 
seemed to be in some 
to be in some authority 
<start> asked walter titus of 
turn was the answer in 
second turn was the answer 
back at second turn was 
for it was in their 
was in their thoughts that 
in their thoughts that they 
<start> for it was in 
setting the fire was still 
could not sleep in it 
in the cave so that 
so that they could not 
was still burning and nearing 
fire was still burning and 
the sun had set they 
they went out of it 
came out of the garden 
they came out of the 
after they came out of 
to sleep as they were 
sleep as they were accustomed 
eve then came under the 
the garden to sleep as 
forgive them their sins and 
they stood and prayed god 
their sins and then fell 
then fell asleep under the 
<start> and they stood and 
i will kill adam <end> 
and his descendants live in 
has promised salvation to adam 
him out of all the 
that he would deliver him 
would deliver him out of 
that he should make him 
thought within himself whereas god 
hardships that have befallen him 
<start> but satan the hater 
has not promised me by 
has promised him that he 
deliver him out of all 
himself whereas god has promised 
which i once was i 
him but has not promised 
goddesses smiled and looked at 
smiled and looked at each 
spake and the goddesses smiled 
i know them too well 
again spoke vexed at heart 
but cypris again spoke vexed 
my sorrows are a jest 
know them too well myself 
tell them to all i 
not say me nay <end> 
will not say me nay 
now since this pleases you 
and coax him and he 
him and he will not 
and gently smiling replied perform 
and hera took her slender 
task cytherea straightway as thou 
with thy boy he will 
as thou sayest and be 
contend with thy boy he 
her slender hand and gently 
slender hand and gently smiling 
athena accompanied her and they 
forth both hastening back <end> 
her seat and athena accompanied 
accompanied her and they went 
to find her boy <end> 
went on her way through 
glens of olympus to find 
had set to dwell among 
set to dwell among the 
zeus had set to dwell 
found him apart in the 
enamoured of his beauty <end> 
of his beauty <end> <end> 
orchard of zeus not alone 
playing for golden dice as 
golden dice as boys in 
one house are wont to 
they were playing for golden 
a sweet blush was glowing 
bloom of his cheeks a 
hand quite full of them 
breast standing upright and on 
was holding the palm of 
and already greedy eros was 
greedy eros was holding the 
by silent and downcast and 
laughter of eros <end> <end> 
other sat crouching hard by 
silent and downcast and he 
was angered by the loud 
sat crouching hard by silent 
which he threw one after 
not the approach of cypris 
lo losing them straightway with 
former he went off empty 
them straightway with the former 
noticed not the approach of 
boy and ll <end> <end> 
and she stood before her 
thou smile in triumph unutterable 
<start> why dost thou smile 
<start> hast thou cheated him 
overcome the innocent child <end> 
him thus and unjustly overcome 
thee zeus allbeauteous plaything the 
tell thee of and i 
him while he still lived 
from the hands of hephaestus 
i will give thee zeus 
thee of and i will 
made for him while he 
with childish ways in the 
wilt thou get from the 
one which his dear nurse 
childish ways in the idaean 
plaything the one which his 
and as often presented some 
frequently returned with the spoils 
to him expressive of duty 
returned with the spoils of 
<start> i frequently returned with 
i frequently returned with the 
desire but necessity made every 
and lodging was in common 
so good indeed as i 
but necessity made every thing 
my food and lodging was 
up at him now smiling 
<start> she glanced up at 
fearfully to where dunder stood 
by the roadside regarding ben 
i but bella looked over 
look of uncertainty <end> <end> 
ben with a look of 
still thought that perhaps this 
that perhaps this was a 
for but still one to 
game that he cared for 
be played if his master 
played if his master fancied 
at go on home <end> 
picked up a stone and 
and threw it at go 
toward the dog with a 
wellfeigned gesture of menace <end> 
with a wellfeigned gesture of 
tail between his legs and 
his tail between his legs 
low howl put his tail 
dunder with a low howl 
girls would be scared of 
must think im a fool 
he pleased to meet you 
him if they didnt know 
on like a baby most 
would be scared of him 
fool going on like a 
to scare anybody <end> <end> 
dog down at tietjens thats 
theres a dog down at 
i forgot something at the 
this afternoon and i was 
at the school this afternoon 
forgot something at the school 
it wont get dark before 
before i get there <end> 
oh i wasnt going no 
place in particular <end> <end> 
were going the other way 
the same with the getae 
with the getae of the 
getae of the earlier historians 
martin note on le beau 
le beau hist <end> <end> 
the getae and goths is 
of the getae and goths 
getae and goths is by 
they seem to be one 
vast branch of the indoteutonic 
seem to be one vast 
spread irregularly towards the north 
to be one vast branch 
one vast branch of the 
different regions came in contact 
came in contact with the 
towards the north of europe 
there seems to have been 
a reflux of these gothic 
this period there seems to 
these gothic tribes from the 
malte brun considers that there 
brun considers that there are 
danish varro m <end> <end> 
grounds for receiving the islandic 
years before j <end> <end> 
the goths were in possession 
scandinavia eygothland years before j 
considers genuine the goths were 
eygothland years before j <end> 
<start> and of a tract 
the vistula and the oder 
and the oder <end> <end> 
on the continent reidgothland between 
of the vistula afterwards of 
course of the vistula afterwards 
the vistula afterwards of the 
scandinavian origin of the goths 
sweden ably maintains the scandinavian 
the scandinavian origin of the 
bopp is the link between 
language according to bopp is 
is the link between the 
according to bopp is the 
teutonic dialects i think that 
i am reading olphilas <end> 
grotius some large extracts from 
some large extracts from adam 
the prolegomena of grotius some 
conjugations system der footnote see 
histoire de charles xii <end> 
flourished about the year footnote 
former wrote in the year 
year the latter flourished about 
lineal successor of alaric <end> 
represented that conqueror as the 
desired the aid of the 
of the court of rome 
austrians desired the aid of 
swedes and goths <end> <end> 
temple subsisted at upsal the 
the most considerable town of 
of the swedes and goths 
<start> till the end of 
the three principal deities the 
representations of the three principal 
and the god of thunder 
sanctified by the uncouth representations 
acquired in their piratical adventures 
in their piratical adventures and 
the god of war the 
god of thunder <end> <end> 
the sacred grove adjacent to 
their bleeding bodies suspended in 
every species without excepting the 
suspended in the sacred grove 
festival that was solemnized every 
grove adjacent to the temple 
the human were sacrificed and 
valuable remains of their ancient 
the most valuable remains of 
century and studied by the 
the thirteenth century and studied 
in iceland about the thirteenth 
superstition are contained in the 
this barbaric superstition are contained 
denmark and sweden as the 
now subsist of this barbaric 
bremen in grotii prolegomenis p 
<start> footnote see adam of 
of sweden who began his 
<start> the temple of upsal 
on its ruins <end> <end> 
by ingo king of sweden 
sweden who began his reign 
cathedral was erected on its 
who began his reign in 
the arna magnaean commission in 
the eddas have at length 
eddas have at length been 
been made accessible to european 
of the publication of the 
length been made accessible to 
war and the great legislator 
name of odin the god 
of odin the god of 
the name of odin the 
odin the god of war 
god of war and the 
latter the mahomet of the 
instituted a religion adapted to 
a religion adapted to the 
north instituted a religion adapted 
valor of odin by his 
numerous tribes on either side 
by the fame which he 
the invincible valor of odin 
on either side of the 
baltic were subdued by the 
of a most skilful magician 
had propagated during a long 
confirmed by a voluntary death 
<start> the faith that he 
that he had propagated during 
<start> apprehensive of the ignominious 
infirmity he resolved to expire 
to expire as became a 
apprehensive of the ignominious approach 
in a solemn assembly of 
with his dying voice to 
hastening away as he asserted 
of heroes in the palace 
of the god of war 
to prepare the feast of 
asserted with his dying voice 
he asserted with his dying 
a lhistoire du dannemarc <end> 
lhistoire du dannemarc <end> <end> 
by the appellation of asgard 
of odin is distinguished by 
native and proper habitation of 
that we could almost wish 
contexture that we could almost 
could almost wish to persuade 
to an historical system of 
of so pleasing a contexture 
pleasing a contexture that we 
persuade ourselves of its truth 
asof words of a similar 
maeotis till the fall of 
the fall of mithridates and 
the chief of a tribe 
was the chief of a 
which dwelt on the banks 
of pompey menaced the north 
north with servitude <end> <end> 
it is supposed that odin 
to a power which he 
subservient to his immortal revenge 
footnote mallet c <end> <end> 
when his invincible goths armed 
a people which in some 
conducted his tribe from the 
which in some remote age 
indignant fury to a power 
yielding with indignant fury to 
resist conducted his tribe from 
of freedom a religion and 
with martial fanaticism should issue 
polar circle to chastise the 
from the frontiers of the 
sweden with the great design 
of forming in that inaccessible 
invincible goths armed with martial 
a city and people <end> 
strabo pliny ptolemy and stephanus 
such a city and people 
city and people <end> <end> 
the noble groundwork of an 
footnote this wonderful expedition of 
goths and romans from so 
a cause might supply the 
poem cannot safely be received 
groundwork of an epic poem 
<start> footnote this wonderful expedition 
which by deducting the enmity 
the obvious sense of the 
of the asiatic sarmatia is 
instead of denoting a real 
most skilful critics asgard instead 
nations who were already seated 
the asiatic sarmatia is the 
new religion to the gothic 
were already seated in the 
supposed to descend when he 
mystic abode of the gods 
edda and the interpretation of 
<start> according to the obvious 
gods the olympus of scandinavia 
whence the prophet was supposed 
counsellor in the chancery of 
upsal by edman in and 
note a curious letter may 
chancery of upsal printed at 
consulted on this subject from 
the swede ihre counsellor in 
a curious letter may be 
work recanted his opinion of 
truth of this expedition of 
his work recanted his opinion 
period of his work recanted 
sanscrit and persian but their 
all mythology was reduced to 
but their northern writers when 
is almost certain from the 
from the affinity of their 
persian but their northern writers 
writers when all mythology was 
if so many successive generations 
we must not expect from 
not expect from such unlettered 
generations of goths were capable 
from such unlettered barbarians any 
successive generations of goths were 
capable of preserving a faint 
circumstances of their emigration <end> 
and natural attempt <end> <end> 
an easy and natural attempt 
little more than one hundred 
more than one hundred miles 
of pomerania and prussia <end> 
vessels with oars and the 
of a sufficient number of 
hundred miles from carlscroon to 
large vessels with oars and 
and historic ground <end> <end> 
at length we land on 
and as late as the 
as the christian aera and 
the antonines the goths were 
and dantzick were long afterwards 
of thorn elbing koningsberg and 
in that fertile province where 
the vistula and in that 
goths were established towards the 
and in that fertile province 
antonines the goths were established 
the oder and the seacoast 
the numerous tribes of the 
were spread along the banks 
westward of the goths the 
of the oder and the 
to indicate that the vandals 
language seemed to indicate that 
manners complexion religion and language 
a striking resemblance of manners 
seemed to indicate that the 
subdivided into ostrogoths visigoths and 
ostrogoths visigoths and gepidae <end> 
to have been subdivided into 
among the vandals was more 
states many of which in 
a variety of other petty 
age expanded themselves into powerful 
of heruli burgundians lombards and 
more strongly marked by the 
distinction among the vandals was 
which in a future age 
of the teutonic knights <end> 
goths had passed the baltic 
colonies who followed the arms 
could yield a firm assent 
footnote by the german colonies 
yield a firm assent to 
the navigations of pytheas of 
baltic at least three hundred 
a firm assent to the 
prussia were footnote pliny hist 
conquest and conversion of prussia 
obtained those denominations from their 
the ostro and visi the 
seats in scandinavia <end> <end> 
<start> they lived in distant 
footnote the ostro and visi 
marches and settlements they preserved 
their future marches and settlements 
the same relative situation <end> 
in all their future marches 
sweden the infant colony was 
in three vessels <end> <end> 
colony was contained in three 
that circumstance the appellation of 
which afterwards swelled into a 
being a heavy sailer lagged 
a heavy sailer lagged behind 
and the crew which afterwards 
afterwards swelled into a nation 
prussia and the northwest of 
divided into ostrogoths and visigoths 
in the third century those 
in scandinavia that the goths 
scandinavia that the goths were 
visigoths that division took place 
the south of prussia and 
from mecklenburgh and pomerania were 
into dacia in the third 
the third century those who 
who came from the south 
is by no means probable 
no means probable <end> <end> 
equally belonged to the great 
of the suevi but the 
to the great division of 
and the goths equally belonged 
the vandals and the goths 
neglected to remark that the 
to me to have neglected 
part of history appear to 
people to all the weaker 
those who have treated on 
remark that the ancients almost 
<start> those who have treated 
me to have neglected to 
pleasures and seem almost ashamed 
to more retiring pleasures and 
<start> others on the contrary 
of appearing to be pleased 
down upon with contempt <end> 
in others the productions of 
indifference and everything which is 
art are treated with indifference 
treated with indifference and everything 
productions of art are treated 
<start> in some countries the 
the ruling passion <end> <end> 
money is the ruling passion 
the finances of the state 
causes concur to exercise a 
all these causes concur to 
very powerful influence upon the 
the conduct of the finances 
the imposition of taxes is 
because the imposition of taxes 
people takes no delight in 
of the people in galas 
in public rejoicings <end> <end> 
the people takes no delight 
if the americans never spend 
of taxes is under the 
democratic institutions but because they 
is not only because they 
live under democratic institutions but 
